"species_name","med_c","med_a","Beak_length_Culmen","Beak_length_Nares","Beak_width","Beak_depth","Tarsus_length","Wing_length","Kipps_distance","Hand_wing_index","Tail_length","Mass","forest1","grassland1","human1","wetland1","shrubland1","woodland1","marine1","riverline1","coastal1","rock1","desert1","carnivore1","herbivore1","omnivore1","scavenger1","australian1","palearctic1","indo_malay1","madagascar1","neotropic1","nearctic1","afrotropic1","oceania1","antarctic1","invertivore1","vertivore1","aquatic_predator1","omnivoretn1","granivore1","frugivore1","nectarivore1","herbivore_aquatic1","herbivore_terrestrial1","scavengertn1","insessorial1","terrestrial1","generalist1","aerial1","aquatic1","fTn","fCn","fAn","fGn","ghahSkew","Stg_Sac"
"Acanthisitta_chloris",0.79820832671222,0.888034476930877,12.1,6.3,2.4,2.2,18,46,6.2,13.9,23.5,6.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.39067055393586,0.0597667638483965,0.130709426627794,0.418853255587949,0.524314765694076,0.619047619047619
"Acanthorhynchus_tenuirostris",0.766073871409029,0.896495396495397,26.8,18.9,2.3,2.7,18,65.6,14.2,20.6,57.1,10.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.441589917595734,0.0426563257392147,0.109064469219583,0.406689287445468,0.577067669172932,0.696558410082404
"Accipiter_gentilis",0.777245901639344,0.956595365418895,33.7,19.6,11.6,18,67.3,337.6,122.6,36.3,241.1,866,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.500498007968127,0.023406374501992,0.129980079681275,0.346115537848606,0.45397489539749,0.693227091633466
"Accipiter_nisus",0.717142857142857,0.948317307692308,19.6,11.4,8.4,10,53.6,207.4,74.2,35.5,155.5,220.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.441045880611741,0.0310804144055254,0.15836211149482,0.369511593487913,0.4,0.621114948199309
"Accipiter_trivirgatus",0.795161290322581,0.938412326545323,31.7,17.3,10.5,14.1,56.9,216.2,49.6,23,171.9,265,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.447103877453327,0.035423647678315,0.113451412158928,0.40402106270943,0.561517113783534,0.702249880325515
"Accipiter_virgatus",0.799913068675746,0.957655866183179,21.2,11.7,7.6,10.2,49.8,167.7,46.7,27.4,123.9,117,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.48047454275828,0.0499258526940188,0.124567474048443,0.345032130499259,0.469473684210526,0.651013346515077
"Aceros_waldeni",0.833333333333333,0.896216568819309,141.5,115.1,35.2,67.7,58.5,331,68.7,20.2,265,1146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.465726786582402,0.0418084589207584,0.117647058823529,0.374817695673311,0.522211253701876,0.681088964511424
"Acridotheres_cristatellus",0.838634882438462,0.885982814178303,27.1,15.7,6.1,8.1,38.1,134,32.1,24.1,81.2,116.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.466097438473129,0.0552486187845304,0.115017579105977,0.363636363636364,0.519412381951731,0.659467604218985
"Acridotheres_tristis",0.824808184143222,0.876026964398568,26.8,16,6.4,8,38.6,139.8,32.8,23.6,84.8,116.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.400514138817481,0.0390745501285347,0.208226221079692,0.352185089974293,0.256880733944954,0.505398457583548
"Acrocephalus_scirpaceus",0.826505016722408,0.854963740935234,17.4,8.8,3.4,2.8,21.7,67.1,17.4,25.8,52.2,12.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.425181598062954,0.0455205811138015,0.109927360774818,0.419370460048426,0.584629460201281,0.68910411622276
